reason,name,city,rating,reviews,category
category-not-whitelisted,Monaco Automotriz SpA,La Granja,4.5,6,Compraventa de automóviles
ambiguous-category-no-strong-signal,Servicio Automotriz San Cristobal SpA,San Ramón,4.8,20,Taller de automóviles
ambiguous-category-no-strong-signal,Servicio Automotriz Febel spa,El Bosque,5.0,9,Taller de automóviles
category-not-whitelisted,PINTURAS ECONOPIN Y OTROS SPA 🟣INTERIORES Y EXTERIORES,La Cisterna,5.0,1,Pintura
category-not-whitelisted,Comercial Cromosar SPA,San Miguel,5.0,1,Tienda de repuestos para automóvil
block-substr,Cerrajería Maipú SPA,Maipú,3.2,14,Cerrajería
ambiguous-category-no-strong-signal,PJL Servicios Automotriz spa,Maipú,4.0,2,Taller de automóviles
category-not-whitelisted,POWER BASS SPA,Maipú,3.3,21,Tienda de accesorios para automóviles
category-not-whitelisted,Ingenieria Comercial Din Motors SPA,Quilicura,3.0,2,Compraventa de automóviles
category-not-whitelisted,Taller Fce Automotriz Spa,Huechuraba,4.0,11,Asociación u organización
category-not-whitelisted,Maira insumos automotriz SpA,Huechuraba,5.0,2,Tienda de accesorios para automóviles
category-not-whitelisted,Comercializadora JFS Spa.,Conchalí,4.3,9,Comercio
ambiguous-category-no-strong-signal,Sandoval Service Spa,Buin,5.0,27,Taller de automóviles
category-not-whitelisted,"Lavado de DPF Melipilla, Descabonizacion de vehículos Bencineros y Petroleros.",Melipilla,4.8,4,Servicio de alquiler de coches
block-substr,"Cerrajería, Asistencia en Ruta, Laminas de seguridad Ecolavado",Melipilla,5.0,9,Servicio de lavado de coches
block-substr,5 Stars Barber Shop,Melipilla,4.5,44,Servicio de limpieza de automóviles
category-not-whitelisted,House SPA,Talagante,4.7,37,Balneario
ambiguous-category-no-strong-signal,COMERCIAL LA FAMILIA SPA,Calera de Tango,4.5,29,Taller de automóviles
no-distinctive-content,Lavado de autos en Pedro Aguirre Cerda,Santiago Centro,4.0,15,Servicio de lavado de coches
category-not-whitelisted,Neymartin Estetica,Lo Barnechea,5.0,2,Esteticista
barrio-pattern,Lavado de Automóviles,Ñuñoa,4.6,55,Servicio de lavado de coches
block-substr,Láminas de seguridad y polarizado JR,La Granja,5.0,5,Servicio de limpieza de automóviles
ambiguous-category-no-strong-signal,HAGALGAL SPA,Colina,4.5,57,Taller mecánico
block-substr,MAXCOT LAVADOS GPS,Melipilla,4.7,3,Servicio de lavado de coches
block-substr,"Ecoesthetic, Clínica Estética.",Talagante,5.0,29,Clínica especializada
ambiguous-category-no-strong-signal,INGECAB CHILE SPA,Providencia,5.0,1,Taller de automóviles
category-not-whitelisted,Alma Spa,Providencia,5.0,151,Spa
category-not-whitelisted,JC CLIMATIZACION SPA,Las Condes,5.0,4,Tienda aire acondicionado
category-not-whitelisted,Emporio Wheels spa,Las Condes,5.0,1,Juguetería
category-not-whitelisted,Mundo Auto spa Chile,Lo Barnechea,3.0,7,Servicio de reparación de parabrisas y pantallas
category-not-whitelisted,kaus spa,La Reina,5.0,3,Spa
category-not-whitelisted,Auto Consulting Spa.,La Reina,5.0,1,Servicio de inversiones
block-substr,Cerrajeria Auto key spa,Ñuñoa,4.9,8,Cerrajería
category-not-whitelisted,REPAIRMAN CHILE SPA,Ñuñoa,5.0,1,Servicio de instalación eléctrica
category-not-whitelisted,Deautos Decken SPA,Peñalolén,5.0,5,Tienda de techos corredizos para automóviles
category-not-whitelisted,"Lavado de autos ""Los Chankas""",Peñalolén,3.5,2,Servicio de limpieza
category-not-whitelisted,laminarte spa,La Florida,5.0,1,Walker Martínez 1937
category-not-whitelisted,Ricardo's spa,La Pintana,5.0,1,Tienda de accesorios para automóviles
category-not-whitelisted,Desarmaduria Repcar SPA,La Pintana,5.0,3,Proveedor de repuestos de carrocería de automóviles
category-not-whitelisted,AUTO CENTER SPA,La Pintana,5.0,1,Av. Padre Hurtado 11573
ambiguous-category-no-strong-signal,Diagnos y servicio automotriz GV SPA,La Pintana,5.0,3,Taller de automóviles
category-not-whitelisted,Importadora CABCAR spa,La Pintana,5.0,1,Tienda de accesorios para automóviles
category-not-whitelisted,EL SHADDAI SPA,La Cisterna,5.0,7,Tienda de accesorios para automóviles
category-not-whitelisted,Valdes y Valdes SpA ( Cristian Chocados ),La Cisterna,3.7,6,Compraventa de automóviles
ambiguous-category-no-strong-signal,Napal Motors Spa,La Cisterna,4.6,13,Taller de automóviles
ambiguous-category-no-strong-signal,sr tapiz spa,La Cisterna,5.0,4,Tapicería para automóviles
category-not-whitelisted,SPA Y MASAJES LOS ANGELES,San Miguel,5.0,3,Spa de masajes
category-not-whitelisted,Tiremaxx spa,San Miguel,4.6,19,Tienda de neumáticos
category-not-whitelisted,Canela Spa,Estación Central,4.8,19,Spa y gimnasio
category-not-whitelisted,reji car spa,Maipú,4.8,25,Tienda de repuestos para automóvil
category-not-whitelisted,MOTORPRO SPA,Maipú,4.2,27,Servicio de reacondicionamiento de motores
category-not-whitelisted,Comercial Chevrowagen SPA,Maipú,5.0,3,Tienda de repuestos para automóvil
category-not-whitelisted,Sociedad Comercializadora Gamadix SpA,Cerro Navia,5.0,5,Comercio
ambiguous-category-no-strong-signal,CLASSIC MONKEY GARAGE spa,Cerro Navia,3.0,2,Taller de automóviles
ambiguous-category-no-strong-signal,AMS Services spa,Cerro Navia,5.0,2,Taller de automóviles
category-not-whitelisted,IMPORTADORA FEI HONG SPA,Pudahuel,5.0,1,Tienda de repuestos para automóvil
category-not-whitelisted,Carga Fácil Spa,Pudahuel,5.0,13,Servicio de transporte
category-not-whitelisted,Auto vidrios JyD spa,Pudahuel,5.0,2,Servicio de reparación para vidrios de automóviles
ambiguous-category-no-strong-signal,Rectificadora Servi Motores R SpA,Quinta Normal,5.0,3,Taller de automóviles
category-not-whitelisted,B&P Gas Service SPA.,Quinta Normal,5.0,4,Servicio de instalación de gas
ambiguous-category-no-strong-signal,Red de diagnóstico spa,Renca,5.0,1,Taller de automóviles
category-not-whitelisted,SCT GERMANY SPA,Renca,4.8,4,Importador
ambiguous-category-no-strong-signal,Servicio Tecnico Campanario Spa,Huechuraba,3.3,67,Taller de automóviles
category-not-whitelisted,Inversiones RS Santiago SPA,Conchalí,4.5,14,Tienda de repuestos de automóviles usados
category-not-whitelisted,dr cars autospa,Recoleta,5.0,3,Planchista
category-not-whitelisted,DF MOTORS SPA,Recoleta,4.4,5,Tienda de repuestos para automóvil
category-not-whitelisted,Comercial Asian Group Spa,Recoleta,5.0,1,Tienda de repuestos para automóvil
category-not-whitelisted,Autorefac SpA,Puente Alto,5.0,1,Tienda de repuestos para automóvil
ambiguous-category-no-strong-signal,Mecánica Espósito SpA,Puente Alto,5.0,2,Taller de automóviles
manual-reject,Servicio De Mantencion Y Lavado De Vehiculos Motor,Puente Alto,4.0,1,Servicio de lavado de coches
category-not-whitelisted,Bacam Motos SpA,San Bernardo,5.0,97,Tienda de repuestos para motos
category-not-whitelisted,Gonzalez Cars SpA desarmaduria,Lampa,5.0,2,Tienda de repuestos para automóvil
ambiguous-category-no-strong-signal,Taller Diego Orellana SPA,Lampa,3.7,3,Taller de automóviles
ambiguous-category-no-strong-signal,Car Security Spa,Melipilla,4.2,5,Taller de automóviles
category-not-whitelisted,Lubricantes Petroli SpA,Melipilla,5.0,1,Proveedor de accesorios para afinación automotriz
category-not-whitelisted,Club Moto Spa.,Peñaflor,3.0,2,Tienda de repuestos para motos
category-not-whitelisted,JC Clean Limpieza de alfombra,Peñaflor,5.0,16,Servicio de limpieza de alfombras
category-not-whitelisted,LuViCaro Spa,Talagante,5.0,5,Spa de día
block-substr,Cerrajería y Asistencia en Ruta EcoLavado,Talagante,5.0,9,Servicio de lavado de coches
manual-reject,Fresh Market,Talagante,3.8,31,Servicio de lavado de coches
