#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Categoria
263,"Centro de lavado de autos ""Del Rey""",Pudahuel,4.0,14,9 8547 4873,Abierto,,Servicio de lavado de coches
264,Lavado chasis puente alto,La Pintana,4.0,13,9 6700 8608,Av. Eyzaguirre 1140,,Servicio de lavado de coches
265,🏆JOSSCAR Lavado de Autos en Maipú,Providencia,4.0,12,9 3295 0175,Av. Los Pajaritos 4679,,Servicio de lavado de coches
266,CriticalClean - Estetica Automotriz,La Reina,4.0,4,9 5084 9498,Av. Larraín 6062,,Tienda de automovilismo
267,Eco DC Wash,Maipú,4.0,4,9 6495 0770,,ecodcwash,Servicio de lavado de coches
268,Lavado de autos RMA carwash,La Pintana,4.0,4,9 2617 8857,,,Servicio de lavado de coches
269,Tú Carwash Lampa,Lampa,4.0,2,9 4086 6700,Baquedano 1044,,Servicio de lavado de coches
270,Carwash feli detail,Peñaflor,4.0,2,9 5063 5659,21 de Mayo 1678,,Servicio de lavado de coches
271,eco wash móvil,La Granja,4.0,2,,"José Santos González Vera 507, 539",,Servicio de lavado de coches
272,Santo Lavado,El Bosque,4.0,1,,C. Balmaceda 0119,santo_lavado_el_bosque,Servicio de lavado de coches
273,LAVACAR,Ñuñoa,3.9,193,9 3685 3882,Exequiel Fernández 3111,,Servicio de lavado de coches
274,Edgar Car,Providencia,3.9,21,9 9397 6322,Bellavista 215,,Servicio de lavado de coches
275,Maxservis lavado automotriz,Renca,3.9,14,(2) 3204 4567,Brasil 7730 - locales - 2,,Servicio de lavado de coches
276,car wash at home,El Bosque,3.9,12,9 4562 3083,Cerrado temporalmente,,Servicio de lavado de coches
277,CarWash Rápido y Brilloso,Macul,3.9,11,9 4928 1853,Av. Vicuña Mackenna 3011,rapidoybrillosocarwash1,Servicio de lavado de coches
278,Car wash Ecuador buin,Buin,3.9,8,9 5304 6677,Manuel Montt 399,,Servicio de lavado de coches
279,Fenix CarWash,San Joaquín,3.8,58,9 8247 3903,Curiñanca 859,,Servicio de lavado de coches
280,Car.care sa,La Reina,3.8,37,(2) 2279 0032,,,Servicio de lavado de coches
281,centro de lavado de autos J & L,La Pintana,3.8,35,9 9806 1597,García de La Huerta 153,,Servicio de lavado de coches
282,Detailing Monaco’s,Las Condes,3.8,26,9 3465 6249,Av. La Dehesa 222,,Servicio de lavado de coches
283,Lavado Automotriz Pedrito - Maipú,Maipú,3.8,5,9 7784 8984,Av. 5 de Abril 231,,Servicio de lavado de coches
284,Carwash 7,Las Condes,3.7,85,9 8292 9132,Pje. Larrain 6285,carwash7.lareina,Servicio de lavado de coches
285,Car wash 3j,Colina,3.7,29,9 5000 8863,Los Corrales,,Servicio de lavado de coches
286,"Centro de Lavado Integral, Cafe Tacoha",Quinta Normal,3.7,22,,Alberto Edwards 4239,,Servicio de lavado de coches
287,Full Wash Car Spa,La Cisterna,3.7,22,(2) 2409 2248,"La Cisterna, Trinidad Ramírez 24",,Servicio de lavado de coches
288,Autolavados fura,San Bernardo,3.7,12,9 6573 2464,Freire 280,,Servicio de lavado de coches
289,MB Garage - Lavado de Autos,San Ramón,3.7,9,9 2020 6420,Av. Américo Vespucio 0289,,Servicio de lavado de coches
290,Lavado de Vehículos Y Tapiz a Domicilio,Buin,3.7,9,9 5297 2437,A domicilio,,Servicio de lavado de coches
291,Lavado de autos Toretto cars,La Granja,3.7,6,9 6719 8673,,,Servicio de lavado de coches
292,"Baselli Autocenter - Taller mecánico - Lavado, pulido y detallado de vehiculos",Maipú,3.7,3,9 6789 7036,"Cmo. a Melipilla 1630, 9710000, Loc 24",,Servicio de lavado de coches
293,88 Details,Cerro Navia,3.7,3,9 5137 3503,,88details_,Servicio de lavado de coches
294,Spa Automotriz E&C,Maipú,3.7,3,9 2025 7518,Av. Portales 515,e.spautomotriz,Servicio de lavado de coches
295,Lavado autos rosa negra,San Miguel,3.7,3,9 8243 1713,Av. Carlos Valdovinos 1216,,Servicio de lavado de coches
296,Servilobos,Providencia,3.6,85,9 3442 5290,,taller_servilobos,Servicio de lavado de coches
297,Carwash Er Maracucho,San Miguel,3.6,45,,Gauss 5187,carwash.ermaracucho,Servicio de lavado de coches
298,"LIMPIACAR LTDA. Limpieza Tapiz, Lavado Tapiz, Detailing Interior a Domicilio",Providencia,3.6,5,9 4342 9312,Cerrado,,Servicio de limpieza de automóviles
299,Ecolav,Macul,3.5,2,9 6433 4954,Exequiel Fernández 3305,,Servicio de lavado de coches
300,Thekingcarwash,Padre Hurtado,3.5,2,,"Av. San Ignacio, Sitio 5 manzana 6",,Servicio de lavado de coches
301,Lavado Master Wash,Quilicura,3.4,14,,Av. Bernardo O'Higgins 314,,Servicio de lavado de coches
302,Kärcher Clean Park Lavado de Autos,Huechuraba,3.4,5,9 8911 9609,Av. Américo Vespucio 1155,,Servicio de lavado de coches
303,Carcleaningrr Car Wash A Domicilio Limpieza De Tapiz Detailing Lavado De Motor Limpieza De Motos,Quilicura,3.0,4,9 3068 0296,Antumalal 567,,Servicio de lavado de coches
304,On Time Car Chicureo,Colina,3.0,3,,Av. Chicureo 2300,,Servicio de lavado de coches
305,Lava2ya,Maipú,3.0,3,9 4017 5787,No Pública 0 Maipú,,Servicio de lavado de coches
306,CarWash ferrer,Huechuraba,3.0,2,9 7997 4995,Juan Muñoz 4607,,Servicio de lavado de coches
307,tommy_car8,Quinta Normal,3.0,2,9 5193 5234,Dr. Lucas Sierra 3557,,Servicio de lavado de coches
308,gallos limpieza automotriz,Pudahuel,3.0,2,9 7904 3366,San Francisco 8995,,Servicio de lavado de coches
309,Rangers Lavado Automotriz,Recoleta,3.0,2,,Tabaré 641,,Servicio de lavado de coches
310,Two Bears,Talagante,3.0,2,,Pje. González Vera 1045,,Servicio de lavado de coches
311,El Baiker SpA,Cerro Navia,3.0,1,,11 de Diciembre 4185,,Servicio de limpieza de automóviles
312,Fullpremiumwash,Peñaflor,3.0,1,9 3377 7441,Ottawa 956,,Servicio de lavado de coches
