#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Categoria
91,Carwash Wallo,San Joaquín,5.0,2,9 6291 8087,Juan Sebastián Bach 279,,Servicio de lavado de coches
92,KJ servicios spa,Recoleta,5.0,2,,Av. Einstein 527,,Servicio de lavado de coches
93,Soyseco SpA,Buin,5.0,2,9 5949 3213,Raul Gajardo Gajardo 884,,Servicio de lavado de coches
94,Detailing el zurdo,Puente Alto,5.0,2,9 7956 5100,Pje. Cafernaum 1 Nte. 3058,detailing_elzurdo,Servicio de limpieza de automóviles
95,CarWashSpeedy,Puente Alto,5.0,2,9 3564 9826,C. Creta 2662,,Servicio de lavado de coches
96,Puntoexacto,Ñuñoa,5.0,2,9 2048 2557,San Eugenio 988,,Servicio de lavado de coches
97,Lavado de auto los morros,El Bosque,5.0,2,,Av. Padre Hurtado 12941,,Servicio de lavado de coches
98,Lavado de auto Virgen de la Puerta,Buin,5.0,2,9 7782 1144,Manuel Bulnes 37,,Servicio de lavado de coches
99,Eco Lavado de Autos a Domicilio ZECOWASH,Providencia,5.0,1,,"Holanda 5 Providencia Contáctanos y agenda tu cita Nosotros acudimos a tu domicilio COMUNAS: Ñuñoa, La Reina, Las Condes, Av Vitacura",,Servicio de lavado de coches
100,Thunder clean,Las Condes,5.0,1,9 8715 7789,Reina Victoria 6960,thunder.clean,Servicio de lavado de coches
101,Platinum Detailing Chile (Lavado de vehículos a domicilio),Macul,5.0,1,9 8651 9803,Rapa Nui 3629,,Servicio de lavado de coches
102,Nice Car Carwash & Detail,San Joaquín,5.0,1,9 7448 1685,Av. La Marina 1965,,Servicio de lavado de coches
103,Rayo mclean El bosque,San Ramón,5.0,1,9 6354 1368,Sgto. Aldea 817,,Servicio de lavado de coches
104,Nova Clean Aseo Y Seguridad Limitada,Huechuraba,5.0,1,9 7798 0017,Condominio Altos del Carmen 1560,,Servicio de lavado de coches
105,autolavadojp,Huechuraba,5.0,1,9 7624 0954,Av. Principal Capitán Ignacio Carrera Pinto 819,,Servicio de lavado de coches
106,Hulk Carwash,Huechuraba,5.0,1,9 9233 3366,Puma 1490,,Servicio de lavado de coches
107,BG CAR WASH,Independencia,5.0,1,9 7755 2415,Av. Fermín Vivaceta 402,,Servicio de lavado de coches
108,AL. Automotive,Colina,5.0,1,9 5769 2199,"strepp center local E - Av. Chicureo, kilómetros 2,8",,Servicio de lavado de coches
109,Go Detailing Paint,Buin,5.0,1,9 3329 2617,José Alberto Bravo 296,,Taller de chapa y pintura
110,kar-pro detail cleaning,Buin,5.0,1,9 9683 9717,Manuel Montt 1200,,Servicio de lavado de coches
111,Detailing carpaine,Paine,5.0,1,9 4187 0243,,,Servicio de lavado de coches
112,Carwash JL,Melipilla,5.0,1,9 4881 1682,Cerrado,carwash__jl,Servicio de lavado de coches
113,BLACK78,Talagante,5.0,1,9 5784 7845,Av. Bernardo O'Higgins 2031,shimmerwashes,Servicio de lavado de coches
114,"Taller de detailing ""Ceramicwash""",Talagante,5.0,1,9 3772 4308,Av. Bernardo O'Higgins 23,,Servicio de lavado de coches
115,Em&Car Estetica Automotriz,Santiago Centro,5.0,1,9 7939 2037,María José 2273,,Servicio de lavado de coches
116,Speed Wash,Peñalolén,5.0,1,,Av. Grecia 9069,,Servicio de lavado de coches
117,Detailing lavathor,La Florida,5.0,1,9 5532 2639,,,Servicio de limpieza de automóviles
118,Detailing carchile,San Miguel,5.0,1,9 3085 7386,Ventura Blanco Viel 1129,,Servicio de lavado de coches
119,E wash,Estación Central,5.0,1,9 2175 0055,romero 2850 libertad 22 estacionmiento -1,,Servicio de lavado de coches
120,Fresh Car Service,Maipú,5.0,1,9 6621 8792,Abierto,,Servicio de lavado de coches
121,Master Detailing Cars,Huechuraba,5.0,1,9 9918 0071,Víctor Cuccuini 272,,Pintura de automóviles
122,Kr-Wash.Kukenán,Puente Alto,5.0,1,,Av. El Peral 06013,,Servicio de lavado de coches
123,Navarro Car Wash,Puente Alto,5.0,1,9 5719 2645,Las Rosas 0373,n.car.wash,Servicio de lavado de coches
124,Autopulido,Lampa,5.0,1,9 7642 4971,Sta. Ana,,Servicio de lavado de coches
125,Car Wash Hummels,Buin,5.0,1,9 7626 7721,C. Luz Maria Corrales 056,,Servicio de lavado de coches
126,Premium Eco Wash,Paine,5.0,1,9 2629 9554,Concepción 238,,Servicio de lavado de coches
127,Lavado los guevara,San Joaquín,5.0,1,,San Nicolás 347,,Servicio de lavado de coches
128,Bastycar,San Joaquín,5.0,1,,Av. Salesianos 162,,Servicio de lavado de coches
129,Carwash Service lavado de autos,La Granja,5.0,1,9 4531 8628,Lota 7810,,Servicio de lavado de coches
130,Studio Detailing,Conchalí,5.0,1,9 9519 7869,Avenida Padre Hurtado Norte Vitacura,,Servicio de lavado de coches
131,7trebol spa carwas,Melipilla,5.0,1,9 8178 7461,Pardo 661,,Servicio de lavado de coches
132,Lavado de Auto @frank,Talagante,5.0,1,9 4669 4241,"1 Poniente, parcela 4",,Servicio de lavado de coches
133,Lavado De Autos Sport Clean,Santiago Centro,5.0,1,,Av. Las Industrias 5349,,Servicio de lavado de coches
134,CarWash Steam,La Pintana,5.0,1,9 6724 9740,Rancagua 0180,,Servicio de lavado de coches
135,Detailing SAC,Estación Central,5.0,1,9 8726 0256,Constantino 546,,Servicio de lavado de coches
136,RoCars,Puente Alto,5.0,1,9 9491 1400,Estación Los Alamos 3430,,Servicio de lavado de coches
137,La Nave Carwash,Melipilla,5.0,1,9 8480 8422,,lanave.g60,Servicio de lavado de coches
138,CARWAHS RAPIDO Y BRILLOSO,Melipilla,5.0,1,,Zuniga - Zúñiga 706,,Servicio de lavado de coches
139,Lavados de autos El Silo A&D,Talagante,5.0,1,9 4889 3065,Av. Lonquén Sur 22440,,Servicio de lavado de coches
140,Superwash,Las Condes,5.0,1,,Av. 5 de Abril 4851,reel,Servicio de lavado de coches
141,Josscar,Conchalí,5.0,1,,Av. Independencia 4276,,Autoservicio de lavado de autos
142,Lavado car A.R,San Bernardo,5.0,1,,Carlos Condell 1068,,Servicio de lavado de coches
143,VAPORCARE,Paine,5.0,1,9 6902 8694,"Región Metropolitana CL, Dieciocho de Septiembre 6580",,Servicio de lavado de coches
144,Carwash chocalan g60,Melipilla,5.0,1,9 8532 4077,Abierto,,Servicio de lavado de coches
145,MAC WASH,Melipilla,5.0,1,,,,Servicio de lavado de coches
146,System X chile ceramic protection,Paine,4.9,113,9 5650 9363,Av. Manquehue Sur 1795,,Servicio de lavado de coches
147,limpieza interior exterior de autos andrade,Colina,4.9,51,9 7374 8599,Nemesio Antúnez 1341,,Servicio de limpieza de automóviles
148,F-Stack Pro Detailing,Lo Barnechea,4.9,39,9 7146 9232,C. Barcelona 1044,,Servicio de restauración de automóviles
149,Fredy’s Carwash,Providencia,4.9,22,,Av. El Salto 2042,,Servicio de lavado de coches
150,LKM Cleaner Chile,Providencia,4.9,20,9 4805 5402,totus - Av. Fermín Vivaceta,,Servicio de lavado de coches
151,Lavado de autos donde el pato,Maipú,4.9,11,9 3513 9097,Cam. A Rinconada 4070,,Servicio de lavado de coches
152,Master Clean CarWash,La Reina,4.9,10,9 3278 1322,Quebrada Camarones 755,masterclean_spa,Servicio de lavado de coches
153,Easy Car Wash,Santiago Centro,4.8,185,9 9356 6044,Pedro Mira 1091,,Servicio de lavado de coches
154,GARAGE 1279 | Wrap - Detailing & PPF CENTER,Vitacura,4.8,64,9 4550 5013,Monseñor Edwards 1279,,Servicio de lavado de coches
155,Soqui Lavado automotriz y lavado de alfombras,Maipú,4.8,46,9 8814 2027,,,Servicio de lavado de coches
156,Las Palmeras,Cerro Navia,4.8,41,9 4802 8574,Av. José Joaquín Pérez 6768,,Servicio de lavado de coches
157,Reycars Detailing Center,Ñuñoa,4.8,32,9 7827 2649,Jorge Hunneus 4648,,Servicio de lavado de coches
158,Servicio Automotriz Luchito,San Bernardo,4.8,31,,Av. Colón Nte. 0140,,Servicio de lavado de coches
159,Bravo Cars & Wash,Peñalolén,4.8,18,9 6385 7085,Av. Departamental 5192,bravocarwash_,Servicio de lavado de coches
