#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Categoria
60,"Lavado de Autos ""La Copa""",La Granja,4.3,3,9 9131 1471,Yungay 543,,Servicio de lavado de coches
61,Meléndez Lavado Automotriz,Lo Barnechea,4.2,5,,Av. Los Pajaritos 3932,,Servicio de lavado de coches
62,"Lavado de Autos ""Fabián & Camila""",La Granja,4.2,5,9 8743 0240,Yungay 0579,,Servicio de lavado de coches
63,Donde Camilo II,Macul,4.1,98,9 9533 5108,Av. Rodrigo de Araya 2781,,Servicio de lavado de coches
64,Auto lavados Lucho,Puente Alto,4.1,34,9 7743 2866,Independencia 45,,Servicio de lavado de coches
65,"Lavacar ""Rio""",Santiago Centro,4.1,31,,Av. Mapocho 2392,,Servicio de lavado de coches
66,Lavado Tapiz de Autos a Domicilio,Macul,4.1,18,9 3574 7971,Gabriela Mistral 6105,,Servicio de lavado de coches
67,eco wash móvil,La Granja,4.0,2,,"José Santos González Vera 507, 539",,Servicio de lavado de coches
68,car wash at home,El Bosque,3.9,12,9 4562 3083,Cerrado temporalmente,,Servicio de lavado de coches
69,Car.care sa,La Reina,3.8,37,(2) 2279 0032,,,Servicio de lavado de coches
70,"Centro de Lavado Integral, Cafe Tacoha",Quinta Normal,3.7,22,,Alberto Edwards 4239,,Servicio de lavado de coches
71,Full Wash Car Spa,La Cisterna,3.7,22,(2) 2409 2248,"La Cisterna, Trinidad Ramírez 24",,Servicio de lavado de coches
72,Autolavados fura,San Bernardo,3.7,12,9 6573 2464,Freire 280,,Servicio de lavado de coches
73,Lavado de Vehículos Y Tapiz a Domicilio,Buin,3.7,9,9 5297 2437,A domicilio,,Servicio de lavado de coches
74,Lavado autos rosa negra,San Miguel,3.7,3,9 8243 1713,Av. Carlos Valdovinos 1216,,Servicio de lavado de coches
75,Servilobos,Providencia,3.6,85,9 3442 5290,,taller_servilobos,Servicio de lavado de coches
76,"LIMPIACAR LTDA. Limpieza Tapiz, Lavado Tapiz, Detailing Interior a Domicilio",Providencia,3.6,5,9 4342 9312,Cerrado,,Servicio de limpieza de automóviles
77,Lava2ya,Maipú,3.0,3,9 4017 5787,No Pública 0 Maipú,,Servicio de lavado de coches
78,gallos limpieza automotriz,Pudahuel,3.0,2,9 7904 3366,San Francisco 8995,,Servicio de lavado de coches
79,Rangers Lavado Automotriz,Recoleta,3.0,2,,Tabaré 641,,Servicio de lavado de coches
80,Two Bears,Talagante,3.0,2,,Pje. González Vera 1045,,Servicio de lavado de coches
